timestamp,latitude,longitude,altitude,heading,airspeed,temperature,humidity,pressure,wind_speed,wind_direction,rain,microburst_probability,predicted_class
08:50:00,28.42000,76.88000,1550,38,124,32.5,42.0,1012.4,4.5,180,"No",4.5,NORM
08:50:05,28.42667,76.88452,1554,38,124,32.4,42.6,1012.3,4.6,181,"No",5.1,NORM
08:50:10,28.43333,76.88905,1557,38,124,32.3,43.1,1012.2,4.8,182,"No",5.8,NORM
08:50:15,28.44000,76.89357,1560,39,123,32.2,43.7,1012.0,4.9,183,"No",6.4,NORM
08:50:20,28.44667,76.89810,1563,39,123,32.1,44.3,1011.9,5.1,183,"No",7.1,NORM
08:50:25,28.45333,76.90262,1566,39,123,32.0,44.9,1011.7,5.2,184,"No",7.8,NORM
08:50:30,28.46000,76.90714,1569,40,123,31.9,45.4,1011.6,5.4,185,"No",8.5,NORM
08:50:35,28.46667,76.91167,1571,40,122,31.8,46.0,1011.5,5.5,186,"No",9.2,NORM
08:50:40,28.47333,76.91619,1573,40,122,31.7,46.6,1011.3,5.7,187,"No",9.9,NORM
08:50:45,28.48000,76.92071,1575,40,122,31.6,47.1,1011.2,5.8,188,"No",10.6,NORM
08:50:50,28.48667,76.92524,1577,41,122,31.5,47.7,1011.1,6.0,189,"No",11.3,NORM
08:50:55,28.49333,76.92976,1579,41,121,31.4,48.3,1010.9,6.1,189,"No",12.0,NORM
08:51:00,28.50000,76.93429,1580,41,121,31.3,48.9,1010.8,6.3,190,"No",12.7,NORM
08:51:05,28.50667,76.93881,1581,41,121,31.2,49.4,1010.7,6.4,191,"No",13.4,NORM
08:51:10,28.51333,76.94333,1582,42,121,31.1,50.0,1010.5,6.6,192,"No",14.1,NORM
08:51:15,28.52000,76.94786,1583,42,120,31.0,50.6,1010.4,6.7,193,"No",14.8,NORM
08:51:20,28.52667,76.95238,1584,42,120,30.9,51.1,1010.3,6.9,194,"No",15.5,NORM
08:51:25,28.53333,76.95690,1584,42,120,30.8,51.7,1010.1,7.0,194,"No",16.2,NORM
08:51:30,28.54000,76.96143,1585,42,120,30.7,52.3,1010.0,7.2,195,"No",16.9,NORM
08:51:35,28.54667,76.96595,1585,42,120,30.6,52.9,1009.9,7.3,196,"No",17.6,NORM
08:51:40,28.55333,76.97048,1585,42,120,30.5,53.4,1009.7,7.5,197,"No",18.3,NORM
08:51:45,28.56000,76.97500,1585,42,120,30.4,54.0,1009.6,7.6,198,"No",19.0,NORM
08:51:50,28.56500,76.98000,1580,44,120,30.7,54.5,1009.6,7.3,198,"Light Rain",21.0,WET
08:51:55,28.57000,76.98405,1558,44,120,30.5,55.8,1009.3,7.8,201,"Light Rain",23.4,WET
08:52:00,28.57500,76.98810,1536,44,120,30.2,57.0,1009.0,8.2,204,"Light Rain",25.7,WET
08:52:05,28.58000,76.99214,1514,44,119,30.0,58.3,1008.7,8.7,206,"Light Rain",28.1,WET
